Date,Open,High,Low,Close,Adj Close,Volume
2023-03-15,515.000000,516.000000,510.000000,511.000000,503.076141,23208597
2023-03-16,505.000000,510.000000,504.000000,505.000000,499.859039,21965994
2023-03-17,516.000000,518.000000,513.000000,518.000000,512.726685,33118483
2023-03-20,517.000000,518.000000,510.000000,512.000000,506.787781,11837312
2023-03-21,515.000000,517.000000,512.000000,517.000000,511.736877,18284799
2023-03-22,524.000000,533.000000,524.000000,533.000000,527.573975,42385987
2023-03-23,528.000000,539.000000,528.000000,538.000000,532.523071,26728246
2023-03-24,536.000000,539.000000,535.000000,539.000000,533.512878,21926240
2023-03-27,533.000000,536.000000,531.000000,531.000000,525.594360,16111177
2023-03-28,525.000000,530.000000,524.000000,525.000000,519.655457,17234120
2023-03-29,533.000000,533.000000,525.000000,530.000000,524.604553,17280749
2023-03-30,536.000000,537.000000,531.000000,535.000000,529.553589,19201564
2023-03-31,538.000000,538.000000,532.000000,533.000000,527.573975,23558838
2023-04-06,530.000000,531.000000,526.000000,530.000000,524.604553,25423363
2023-04-07,535.000000,535.000000,529.000000,531.000000,525.594360,8557482
2023-04-10,533.000000,533.000000,528.000000,529.000000,523.614685,7435151
2023-04-11,522.000000,527.000000,522.000000,524.000000,518.665649,22675697
2023-04-12,523.000000,524.000000,517.000000,520.000000,514.706299,23816473
2023-04-13,515.000000,517.000000,510.000000,510.000000,504.808105,25536889
2023-04-14,516.000000,520.000000,513.000000,516.000000,510.747070,18072504
2023-04-17,519.000000,520.000000,514.000000,520.000000,514.706299,14634287
2023-04-18,518.000000,520.000000,514.000000,515.000000,509.757202,15168888
2023-04-19,517.000000,518.000000,509.000000,510.000000,504.808105,21123233
2023-04-20,512.000000,516.000000,510.000000,513.000000,507.777588,17221961
2023-04-21,520.000000,520.000000,510.000000,511.000000,505.797943,25016683
2023-04-24,505.000000,510.000000,504.000000,507.000000,501.838684,16886512
2023-04-25,504.000000,505.000000,498.000000,498.000000,492.930298,36898412
2023-04-26,498.000000,498.500000,491.000000,491.500000,486.496460,31269245
2023-04-27,491.000000,495.000000,489.000000,493.500000,488.476105,29537148
2023-04-28,498.500000,502.000000,498.000000,502.000000,496.889557,24824100
2023-05-02,500.000000,502.000000,496.500000,501.000000,495.899750,15325791
2023-05-03,496.000000,498.000000,495.000000,496.000000,490.950653,11369311
2023-05-04,497.000000,499.500000,496.000000,498.000000,492.930298,13140291
2023-05-05,500.000000,502.000000,498.500000,500.000000,494.909912,7488897
2023-05-08,509.000000,509.000000,502.000000,504.000000,498.869232,11243634
2023-05-09,507.000000,510.000000,505.000000,510.000000,504.808105,16197743
2023-05-10,508.000000,508.000000,500.000000,503.000000,497.879364,18859212
2023-05-11,506.000000,506.000000,498.500000,499.000000,493.920105,13382927
2023-05-12,496.000000,500.000000,495.000000,496.000000,490.950653,18465362
2023-05-15,497.000000,499.500000,494.500000,495.500000,490.455750,13315766
2023-05-16,503.000000,508.000000,500.000000,505.000000,499.859039,21140315
2023-05-17,508.000000,521.000000,506.000000,519.000000,513.716492,41406763
2023-05-18,533.000000,536.000000,526.000000,530.000000,524.604553,43096277
2023-05-19,535.000000,535.000000,529.000000,532.000000,526.584167,32099068
2023-05-22,532.000000,533.000000,529.000000,531.000000,525.594360,17208135
2023-05-23,530.000000,531.000000,525.000000,530.000000,524.604553,19588873
2023-05-24,527.000000,528.000000,524.000000,525.000000,519.655457,19086681
2023-05-25,542.000000,545.000000,537.000000,543.000000,537.472229,63827245
2023-05-26,568.000000,568.000000,563.000000,566.000000,560.238037,95808471
2023-05-29,574.000000,574.000000,564.000000,568.000000,562.217651,54657853
2023-05-30,566.000000,568.000000,563.000000,566.000000,560.238037,40136130
2023-05-31,560.000000,562.000000,551.000000,558.000000,552.319519,81176782
2023-06-01,550.000000,554.000000,550.000000,551.000000,545.390747,24477529
2023-06-02,559.000000,564.000000,557.000000,562.000000,556.278748,30206141
2023-06-05,560.000000,560.000000,555.000000,555.000000,549.349976,16827391
2023-06-06,554.000000,562.000000,553.000000,560.000000,554.299133,20228086
2023-06-07,561.000000,568.000000,560.000000,568.000000,562.217651,27604813
2023-06-08,562.000000,568.000000,555.000000,559.000000,553.309326,23080195
2023-06-09,561.000000,566.000000,561.000000,565.000000,559.248230,19091713
2023-06-12,574.000000,574.000000,571.000000,574.000000,568.156616,26392389
2023-06-13,593.000000,594.000000,589.000000,593.000000,586.963196,56174363
2023-06-14,590.000000,591.000000,587.000000,590.000000,583.993713,23583314
2023-06-15,590.000000,593.000000,587.000000,591.000000,587.722778,27392154
2023-06-16,590.000000,590.000000,584.000000,589.000000,585.733826,38128802
2023-06-19,583.000000,585.000000,582.000000,583.000000,579.767090,14346885
2023-06-20,579.000000,585.000000,579.000000,583.000000,579.767090,16221413
2023-06-21,582.000000,585.000000,578.000000,581.000000,577.778198,21703937
2023-06-26,576.000000,578.000000,574.000000,574.000000,570.817017,27142262
2023-06-27,570.000000,575.000000,569.000000,572.000000,568.828125,21501718
2023-06-28,579.000000,579.000000,571.000000,574.000000,570.817017,18175426
2023-06-29,578.000000,580.000000,570.000000,573.000000,569.822571,16937929
2023-06-30,570.000000,576.000000,568.000000,576.000000,572.805908,22654976
2023-07-03,578.000000,580.000000,576.000000,579.000000,575.789307,14785585
2023-07-04,585.000000,585.000000,580.000000,585.000000,581.756042,17219541
2023-07-05,589.000000,589.000000,579.000000,582.000000,578.772644,14913592
2023-07-06,573.000000,574.000000,565.000000,565.000000,561.866943,28564891
2023-07-07,565.000000,572.000000,563.000000,565.000000,561.866943,18796190
2023-07-10,567.000000,573.000000,565.000000,565.000000,561.866943,18454982
2023-07-11,574.000000,577.000000,570.000000,577.000000,573.800415,17850636
2023-07-12,574.000000,578.000000,572.000000,578.000000,574.794861,15588228
2023-07-13,587.000000,590.000000,585.000000,585.000000,581.756042,25442137
2023-07-14,589.000000,591.000000,587.000000,591.000000,587.722778,23121873
2023-07-17,588.000000,591.000000,587.000000,591.000000,587.722778,13807834
2023-07-18,587.000000,588.000000,580.000000,581.000000,577.778198,20932006
2023-07-19,584.000000,587.000000,579.000000,581.000000,577.778198,22499123
2023-07-20,580.000000,584.000000,578.000000,579.000000,575.789307,15108109
2023-07-21,560.000000,563.000000,557.000000,560.000000,556.894653,46711021
2023-07-24,557.000000,563.000000,557.000000,558.000000,554.905762,25268835
2023-07-25,561.000000,569.000000,561.000000,569.000000,565.844727,19590349
2023-07-26,569.000000,571.000000,563.000000,566.000000,562.861389,13314305
2023-07-27,570.000000,570.000000,566.000000,569.000000,565.844727,12200358
2023-07-28,569.000000,573.000000,565.000000,567.000000,563.855835,18540078
2023-07-31,575.000000,575.000000,560.000000,565.000000,561.866943,24208467
2023-08-01,565.000000,568.000000,564.000000,567.000000,563.855835,16259643
2023-08-02,567.000000,569.000000,558.000000,561.000000,557.889099,25583234
2023-08-04,556.000000,560.000000,552.000000,554.000000,550.927917,26279173
2023-08-07,558.000000,561.000000,556.000000,558.000000,554.905762,14369551
2023-08-08,558.000000,558.000000,551.000000,552.000000,548.939026,19010690
2023-08-09,550.000000,557.000000,550.000000,554.000000,550.927917,14389090
2023-08-10,552.000000,554.000000,550.000000,551.000000,547.944580,17892615
2023-08-11,556.000000,558.000000,546.000000,546.000000,542.972290,17608427
2023-08-14,540.000000,543.000000,537.000000,541.000000,538.000000,20939030
2023-08-15,543.000000,545.000000,540.000000,542.000000,538.994446,14066307
2023-08-16,541.000000,543.000000,536.000000,542.000000,538.994446,28269840
2023-08-17,540.000000,546.000000,537.000000,544.000000,540.983398,22843138
2023-08-18,540.000000,544.000000,539.000000,539.000000,536.011108,17592345
2023-08-21,544.000000,544.000000,534.000000,537.000000,534.022217,16633821
2023-08-22,544.000000,544.000000,538.000000,541.000000,538.000000,14594304
2023-08-23,546.000000,552.000000,544.000000,552.000000,548.939026,20636332
2023-08-24,563.000000,564.000000,558.000000,564.000000,560.872498,23280827
2023-08-25,549.000000,551.000000,546.000000,546.000000,542.972290,24144537
2023-08-28,547.000000,553.000000,547.000000,549.000000,545.955627,8991985
2023-08-29,551.000000,553.000000,546.000000,552.000000,548.939026,10516678
2023-08-30,558.000000,560.000000,554.000000,555.000000,551.922363,15117416
2023-08-31,553.000000,556.000000,548.000000,549.000000,545.955627,40431378
2023-09-01,543.000000,553.000000,543.000000,548.000000,544.961182,13669766
2023-09-04,549.000000,557.000000,549.000000,557.000000,553.911316,9531157
2023-09-05,553.000000,555.000000,550.000000,552.000000,548.939026,12220686
2023-09-06,556.000000,556.000000,550.000000,550.000000,546.950134,14067008
2023-09-07,546.000000,548.000000,542.000000,542.000000,538.994446,20717005
2023-09-08,535.000000,540.000000,535.000000,539.000000,536.011108,15283568
2023-09-11,539.000000,540.000000,536.000000,536.000000,533.027771,14631968
2023-09-12,536.000000,545.000000,536.000000,544.000000,540.983398,16028336
2023-09-13,545.000000,548.000000,541.000000,541.000000,538.000000,16191392
2023-09-14,544.000000,550.000000,543.000000,550.000000,550.000000,17144287
2023-09-15,549.000000,558.000000,547.000000,558.000000,558.000000,42517441
2023-09-18,548.000000,549.000000,540.000000,540.000000,540.000000,36684692
2023-09-19,539.000000,543.000000,538.000000,538.000000,538.000000,18901683
2023-09-20,536.000000,538.000000,535.000000,535.000000,535.000000,24635567
2023-09-21,530.000000,531.000000,526.000000,527.000000,527.000000,32012694
2023-09-22,523.000000,525.000000,522.000000,522.000000,522.000000,29049309
2023-09-25,522.000000,529.000000,522.000000,525.000000,525.000000,17116402
2023-09-26,521.000000,524.000000,519.000000,519.000000,519.000000,26392692
2023-09-27,517.000000,523.000000,516.000000,522.000000,522.000000,16846401
2023-09-28,523.000000,525.000000,520.000000,523.000000,523.000000,19733331
2023-10-02,530.000000,534.000000,528.000000,533.000000,533.000000,25427911
2023-10-03,528.000000,533.000000,528.000000,529.000000,529.000000,14490129
2023-10-04,521.000000,523.000000,519.000000,520.000000,520.000000,28358964
2023-10-05,523.000000,529.000000,523.000000,528.000000,528.000000,24945684
2023-10-06,530.000000,533.000000,529.000000,532.000000,532.000000,15336587
2023-10-11,542.000000,544.000000,540.000000,544.000000,544.000000,46639969
2023-10-12,545.000000,550.000000,544.000000,550.000000,550.000000,34161176
2023-10-13,550.000000,554.000000,548.000000,553.000000,553.000000,31123496
2023-10-16,546.000000,547.000000,542.000000,545.000000,545.000000,19875676
2023-10-17,550.000000,552.000000,548.000000,551.000000,551.000000,18364998
2023-10-18,549.000000,549.000000,540.000000,540.000000,540.000000,26418940
2023-10-19,540.000000,548.000000,540.000000,546.000000,546.000000,22881262
2023-10-20,549.000000,556.000000,546.000000,556.000000,556.000000,45984177
2023-10-23,552.000000,553.000000,543.000000,544.000000,544.000000,22747367
2023-10-24,543.000000,546.000000,540.000000,544.000000,544.000000,15007814
2023-10-25,544.000000,551.000000,544.000000,544.000000,544.000000,16526355
2023-10-26,530.000000,535.000000,530.000000,531.000000,531.000000,28188348
2023-10-27,534.000000,536.000000,532.000000,533.000000,533.000000,15679643
2023-10-30,531.000000,534.000000,528.000000,532.000000,532.000000,21404842
2023-10-31,535.000000,535.000000,527.000000,529.000000,529.000000,25667058
2023-11-01,533.000000,533.000000,527.000000,528.000000,528.000000,13603347
2023-11-02,536.000000,547.000000,535.000000,547.000000,547.000000,29401438
2023-11-03,547.000000,549.000000,545.000000,549.000000,549.000000,15426176
2023-11-06,553.000000,556.000000,550.000000,550.000000,550.000000,29215201
2023-11-07,552.000000,555.000000,550.000000,555.000000,555.000000,14777790
2023-11-08,550.000000,557.000000,550.000000,556.000000,556.000000,15314834
2023-11-09,551.000000,557.000000,551.000000,557.000000,557.000000,13165684
2023-11-10,555.000000,557.000000,554.000000,557.000000,557.000000,12994933
2023-11-13,579.000000,580.000000,571.000000,571.000000,571.000000,43866014
2023-11-14,576.000000,576.000000,571.000000,572.000000,572.000000,21568576
2023-11-15,583.000000,583.000000,575.000000,581.000000,581.000000,50305088
2023-11-16,581.000000,583.000000,578.000000,583.000000,583.000000,28291435
2023-11-17,579.000000,583.000000,579.000000,580.000000,580.000000,22031704
2023-11-20,576.000000,579.000000,575.000000,577.000000,577.000000,22010114
2023-11-21,582.000000,585.000000,581.000000,585.000000,585.000000,35921706
2023-11-22,576.000000,579.000000,574.000000,577.000000,577.000000,21969125
2023-11-23,574.000000,578.000000,574.000000,578.000000,578.000000,14486134
2023-11-24,577.000000,578.000000,574.000000,575.000000,575.000000,10058969
